INFO 2026-04-09 01:37:36,699 autoreload Watching for file changes with StatReloader
DEBUG 2026-04-09 01:37:36,700 autoreload Waiting for apps ready_event.
DEBUG 2026-04-09 01:37:40,194 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2026-04-09 01:37:40,224 autoreload Watching dir D:\Projects\blinkit-logistics-system\backend\templates with glob **/*.
DEBUG 2026-04-09 01:37:40,225 autoreload Watching dir C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django_filters\templates with glob **/*.
DEBUG 2026-04-09 01:37:40,225 autoreload Watching dir C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2026-04-09 01:37:40,225 autoreload Watching dir D:\Projects\blinkit-logistics-system\backend\locale with glob **/*.mo.
DEBUG 2026-04-09 01:37:40,226 autoreload Watching dir C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2026-04-09 01:37:40,226 autoreload Watching dir C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2026-04-09 01:37:40,226 autoreload Watching dir C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django_filters\locale with glob **/*.mo.
DEBUG 2026-04-09 01:37:40,226 autoreload Watching dir D:\Projects\blinkit-logistics-system\backend\apps\accounts\locale with glob **/*.mo.
DEBUG 2026-04-09 01:37:40,227 autoreload Watching dir D:\Projects\blinkit-logistics-system\backend\apps\drivers\locale with glob **/*.mo.
DEBUG 2026-04-09 01:37:40,227 autoreload Watching dir D:\Projects\blinkit-logistics-system\backend\apps\vehicles\locale with glob **/*.mo.
DEBUG 2026-04-09 01:37:40,227 autoreload Watching dir D:\Projects\blinkit-logistics-system\backend\apps\trips\locale with glob **/*.mo.
DEBUG 2026-04-09 01:37:40,227 autoreload Watching dir D:\Projects\blinkit-logistics-system\backend\apps\expenses\locale with glob **/*.mo.
DEBUG 2026-04-09 01:37:40,228 autoreload Watching dir D:\Projects\blinkit-logistics-system\backend\apps\payments\locale with glob **/*.mo.
